Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01,79169.0078125,79169.0078125,79169.0078125,79169.0078125,52395.3828125,0,0.0,0.0
2020-01-02,79169.0078125,79169.0078125,79169.0078125,79169.0078125,52395.3828125,0,0.0,0.0
2020-01-03,82553.7265625,82553.7265625,79150.4140625,82553.7265625,54635.46875,1398,0.0,0.0
2020-01-06,82553.7265625,82553.7265625,82553.7265625,82553.7265625,54635.46875,0,0.0,0.0
2020-01-07,79968.6953125,79968.6953125,79968.6953125,79968.6953125,52924.6484375,341,0.0,0.0
2020-01-08,79968.6953125,79968.6953125,79968.6953125,79968.6953125,52924.6484375,341,0.0,0.0
2020-01-09,81010.1484375,81010.1484375,79931.5,81010.1484375,53613.9140625,7707,0.0,0.0
2020-01-10,82665.3125,82665.3125,80470.828125,82665.3125,54709.3046875,9367,0.0,0.0
2020-01-13,80005.890625,82665.3125,79968.6953125,80005.890625,52949.27734375,4356,0.0,0.0
2020-01-14,81084.5390625,81828.4296875,80898.5625,81084.5390625,53663.14453125,10307,0.0,0.0
2020-01-15,81828.4296875,81828.4296875,80898.5625,81828.4296875,54155.44140625,1535,0.0,0.0
2020-01-16,82293.3671875,82553.7265625,81735.4453125,82293.3671875,54463.140625,6931,0.0,0.0
2020-01-17,82293.3671875,82553.7265625,81735.4453125,82293.3671875,54463.140625,6931,0.0,0.0
2020-01-20,80061.6796875,80191.8671875,80061.6796875,80061.6796875,52986.1953125,1208,0.0,0.0
2020-01-21,81363.5,81363.5,80061.6796875,81363.5,53847.7421875,4891,0.0,0.0
2020-01-22,82386.3515625,82386.3515625,82367.7578125,82386.3515625,54524.67578125,537,0.0,0.0
2020-01-23,81363.5,82479.34375,81363.5,81363.5,53847.7421875,3038,0.0,0.0
2020-01-24,82758.3046875,82758.3046875,81363.5,82758.3046875,54770.84765625,7031,0.0,0.0
2020-01-27,81512.28125,82758.3046875,81363.5,81512.28125,53946.2109375,10487,0.0,0.0
2020-01-28,81828.4296875,82739.703125,80005.890625,81828.4296875,54353.86328125,31883,297.55795,0.0
2020-01-29,82181.78125,82293.3671875,81828.4296875,82181.78125,54588.55859375,40131,0.0,0.0
2020-01-30,81419.2890625,81847.03125,81400.6953125,81419.2890625,54082.0859375,17727,0.0,0.0
2020-01-31,82758.3046875,82758.3046875,81382.09375,82758.3046875,54971.53125,73980,0.0,0.0
2020-02-03,82758.3046875,82758.3046875,81679.65625,82758.3046875,54971.53125,1296,0.0,0.0
2020-02-04,82795.5,82795.5,81698.25,82795.5,54996.21875,30356,0.0,0.0
2020-02-05,82758.3046875,83483.6015625,82572.328125,82758.3046875,54971.53125,20320,0.0,0.0
2020-02-06,83409.2109375,83409.2109375,82814.09375,83409.2109375,55403.90234375,15655,0.0,0.0
2020-02-07,83409.2109375,83427.8046875,83390.609375,83409.2109375,55403.90234375,6662,0.0,0.0
2020-02-10,81084.5390625,83316.21875,80935.7578125,81084.5390625,53859.76171875,18507,0.0,0.0
2020-02-11,81326.3046875,83093.0546875,81010.1484375,81326.3046875,54020.32421875,7458,0.0,0.0
2020-02-12,81326.3046875,81326.3046875,81326.3046875,81326.3046875,54020.32421875,65,0.0,0.0
2020-02-13,81772.640625,81772.640625,81735.4453125,81772.640625,54316.8125,3469,0.0,0.0
2020-02-14,83409.2109375,83409.2109375,82739.703125,83409.2109375,55403.90234375,16032,0.0,0.0
2020-02-17,83409.2109375,83409.2109375,83409.2109375,83409.2109375,55403.90234375,43,0.0,0.0
2020-02-18,83409.2109375,83409.2109375,83130.25,83409.2109375,55403.90234375,14661,0.0,0.0
2020-02-19,83446.40625,83446.40625,81884.2265625,83446.40625,55428.57421875,13230,0.0,0.0
2020-02-20,83446.40625,83446.40625,81940.015625,83446.40625,55428.57421875,5208,0.0,0.0
2020-02-21,83353.4140625,83446.40625,81940.015625,83353.4140625,55366.8125,1276,0.0,0.0
2020-02-24,83372.015625,83372.015625,83055.859375,83372.015625,55379.1796875,3187,0.0,0.0
2020-02-25,81995.8125,83316.21875,81977.2109375,81995.8125,54660.1171875,12771,297.55795,0.0
2020-02-26,81828.4296875,82479.34375,81828.4296875,81828.4296875,54548.546875,56178,0.0,0.0
2020-02-27,81047.34375,82293.3671875,81047.34375,81047.34375,54027.84375,23025,0.0,0.0
2020-02-28,80005.890625,80898.5625,80005.890625,80005.890625,53333.6328125,14486,0.0,0.0
2020-03-02,80898.5625,80898.5625,80898.5625,80898.5625,53928.67578125,292,0.0,0.0
2020-03-03,80433.6328125,80898.5625,80433.6328125,80433.6328125,53618.73828125,5070,0.0,0.0
2020-03-04,80489.421875,81772.640625,80489.421875,80489.421875,53655.94140625,828,0.0,0.0
2020-03-05,81791.234375,81791.234375,80898.5625,81791.234375,54523.7578125,2526,0.0,0.0
2020-03-06,81735.4453125,81735.4453125,80619.6015625,81735.4453125,54486.5703125,7368,0.0,0.0
2020-03-09,77179.09375,80489.421875,75784.2890625,77179.09375,51449.1796875,8285,0.0,0.0
