Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01,4410.0,4410.0,4410.0,4410.0,2793.44189453125,0,0.0,0.0
2020-01-02,4410.0,4410.0,4410.0,4410.0,2793.44189453125,0,0.0,0.0
2020-01-03,4490.0,4490.0,4490.0,4490.0,2844.11669921875,18024,0.0,0.0
2020-01-06,4490.0,4490.0,4490.0,4490.0,2844.11669921875,0,0.0,0.0
2020-01-07,4480.0,4480.0,4460.0,4480.0,2837.781982421875,63027,0.0,0.0
2020-01-08,4475.0,4480.0,4470.0,4475.0,2834.61474609375,48427,0.0,0.0
2020-01-09,4480.0,4500.0,4480.0,4480.0,2837.781982421875,87446,0.0,0.0
2020-01-10,4515.0,4515.0,4475.0,4515.0,2859.952880859375,285957,0.0,0.0
2020-01-13,4460.0,4540.0,4460.0,4460.0,2825.114013671875,169406,0.0,0.0
2020-01-14,4415.0,4475.0,4410.0,4415.0,2796.60986328125,139082,0.0,0.0
2020-01-15,4380.0,4485.0,4380.0,4380.0,2774.439453125,148170,0.0,0.0
2020-01-16,4385.0,4400.0,4380.0,4385.0,2777.606201171875,49211,0.0,0.0
2020-01-17,4385.0,4400.0,4380.0,4385.0,2807.052978515625,49211,46.0,0.0
2020-01-20,4350.0,4360.0,4350.0,4350.0,2784.648193359375,10562,0.0,0.0
2020-01-21,4420.0,4420.0,4365.0,4420.0,2829.45751953125,88680,0.0,0.0
2020-01-22,4480.0,4480.0,4400.0,4480.0,2867.86669921875,39604,0.0,0.0
2020-01-23,4535.0,4545.0,4430.0,4535.0,2903.07568359375,391853,0.0,0.0
2020-01-24,4465.0,4510.0,4465.0,4465.0,2858.265380859375,195439,0.0,0.0
2020-01-27,4490.0,4490.0,4445.0,4490.0,2874.2685546875,219571,0.0,0.0
2020-01-28,4500.0,4500.0,4410.0,4500.0,2880.67041015625,307667,0.0,0.0
2020-01-29,4530.0,4530.0,4495.0,4530.0,2899.875,233004,0.0,0.0
2020-01-30,4530.0,4530.0,4500.0,4530.0,2899.875,113421,0.0,0.0
2020-01-31,4535.0,4535.0,4465.0,4535.0,2903.07568359375,667960,0.0,0.0
2020-02-03,4525.0,4535.0,4515.0,4525.0,2896.674072265625,60989,0.0,0.0
2020-02-04,4500.0,4535.0,4500.0,4500.0,2880.67041015625,148308,0.0,0.0
2020-02-05,4520.0,4520.0,4500.0,4520.0,2893.472900390625,97497,0.0,0.0
2020-02-06,4535.0,4535.0,4500.0,4535.0,2903.07568359375,130523,0.0,0.0
2020-02-07,4450.0,4540.0,4450.0,4450.0,2848.662841796875,113743,0.0,0.0
2020-02-10,4425.0,4450.0,4425.0,4425.0,2832.65869140625,63147,0.0,0.0
2020-02-11,4415.0,4475.0,4415.0,4415.0,2826.257568359375,152463,0.0,0.0
2020-02-12,4440.0,4460.0,4400.0,4440.0,2842.26171875,253356,0.0,0.0
2020-02-13,4460.0,4480.0,4415.0,4460.0,2855.064208984375,66618,0.0,0.0
2020-02-14,4490.0,4515.0,4460.0,4490.0,2874.2685546875,123323,0.0,0.0
2020-02-17,4475.0,4490.0,4470.0,4475.0,2864.666259765625,76499,0.0,0.0
2020-02-18,4540.0,4540.0,4460.0,4540.0,2906.276123046875,203087,0.0,0.0
2020-02-19,4535.0,4540.0,4500.0,4535.0,2903.07568359375,151099,0.0,0.0
2020-02-20,4575.0,4580.0,4465.0,4575.0,2928.681640625,1214259,0.0,0.0
2020-02-21,4700.0,4760.0,4500.0,4700.0,3008.699951171875,1459869,0.0,0.0
2020-02-24,4750.0,4750.0,4555.0,4750.0,3040.707275390625,440989,0.0,0.0
2020-02-25,4805.0,4815.0,4730.0,4805.0,3075.91552734375,785390,0.0,0.0
2020-02-26,4700.0,4850.0,4700.0,4700.0,3008.699951171875,289609,0.0,0.0
2020-02-27,4580.0,4680.0,4535.0,4580.0,2931.88232421875,502930,0.0,0.0
2020-02-28,4500.0,4605.0,4480.0,4500.0,2880.67041015625,224707,0.0,0.0
2020-03-02,4590.0,4595.0,4505.0,4590.0,2938.283935546875,139913,0.0,0.0
2020-03-03,4570.0,4735.0,4505.0,4570.0,2925.48046875,279167,0.0,0.0
2020-03-04,4650.0,4690.0,4580.0,4650.0,2976.69189453125,365326,0.0,0.0
2020-03-05,4600.0,4655.0,4560.0,4600.0,2944.68505859375,274847,0.0,0.0
2020-03-06,4565.0,4585.0,4500.0,4565.0,2922.280029296875,452799,0.0,0.0
2020-03-09,4410.0,4500.0,4250.0,4410.0,2823.05712890625,1569232,0.0,0.0
2020-03-10,4510.0,4560.0,4365.0,4510.0,2887.07177734375,933283,0.0,0.0
2020-03-11,4375.0,4450.0,4375.0,4375.0,2800.65185546875,370902,0.0,0.0
2020-03-12,4100.0,4280.0,4100.0,4100.0,2624.61083984375,512331,0.0,0.0
2020-03-13,4100.0,4280.0,4100.0,4100.0,2624.61083984375,512331,0.0,0.0
2020-03-16,3520.0,3900.0,3520.0,3520.0,2253.32470703125,611147,0.0,0.0
2020-03-17,3620.0,3780.0,3620.0,3620.0,2317.339111328125,41906,0.0,0.0
2020-03-18,3450.0,3680.0,3450.0,3450.0,2208.514404296875,196685,0.0,0.0
2020-03-19,3700.0,3700.0,3600.0,3700.0,2368.551513671875,204795,0.0,0.0
2020-03-20,3655.0,3890.0,3625.0,3655.0,2339.744873046875,756430,0.0,0.0
2020-03-23,3655.0,3655.0,3655.0,3655.0,2339.744873046875,0,0.0,0.0
2020-03-24,3905.0,3905.0,3655.0,3905.0,2499.781494140625,13193,0.0,0.0
2020-03-25,4100.0,4190.0,3905.0,4100.0,2624.61083984375,195052,0.0,0.0
2020-03-26,4100.0,4190.0,3905.0,4100.0,2624.61083984375,195052,0.0,0.0
2020-03-27,4200.0,4330.0,4200.0,4200.0,2688.625244140625,174645,0.0,0.0
2020-03-30,4000.0,4250.0,4000.0,4000.0,2560.595703125,121350,0.0,0.0
2020-03-31,4290.0,4290.0,3950.0,4290.0,2746.238525390625,172689,0.0,0.0
2020-04-01,4120.0,4270.0,3975.0,4120.0,2637.41357421875,427465,0.0,0.0
2020-04-02,4000.0,4120.0,4000.0,4000.0,2560.595703125,315196,0.0,0.0
2020-04-03,4120.0,4235.0,4000.0,4120.0,2637.41357421875,32886,0.0,0.0
2020-04-06,4165.0,4180.0,4165.0,4165.0,2666.219482421875,15648,0.0,0.0
2020-04-07,4105.0,4180.0,4105.0,4105.0,2627.811279296875,431020,0.0,0.0
2020-04-08,4180.0,4180.0,4180.0,4180.0,2675.82275390625,26466,0.0,0.0
2020-04-09,4180.0,4180.0,4180.0,4180.0,2675.82275390625,0,0.0,0.0
2020-04-10,4180.0,4180.0,4180.0,4180.0,2675.82275390625,0,0.0,0.0
2020-04-13,4180.0,4180.0,4180.0,4180.0,2675.82275390625,2983,0.0,0.0
2020-04-14,4290.0,4290.0,4175.0,4290.0,2746.238525390625,238442,0.0,0.0
2020-04-15,4290.0,4290.0,4165.0,4290.0,2746.238525390625,148860,0.0,0.0
2020-04-16,4290.0,4300.0,4290.0,4290.0,2746.238525390625,55099,0.0,0.0
2020-04-17,4300.0,4300.0,4290.0,4300.0,2784.7724609375,76530,49.5,0.0
2020-04-20,4450.0,4450.0,4450.0,4450.0,2881.91552734375,20240,0.0,0.0
