Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01,3315.0,3315.0,3315.0,3315.0,1491.2252197265625,0,0.0,0.0
2020-01-02,3315.0,3315.0,3315.0,3315.0,1491.2252197265625,0,0.0,0.0
2020-01-03,3380.0,3380.0,3335.0,3380.0,1520.4647216796875,7724860,0.0,0.0
2020-01-06,3380.0,3380.0,3380.0,3380.0,1520.4647216796875,0,0.0,0.0
2020-01-07,3360.0,3395.0,3325.0,3360.0,1511.46826171875,6097335,0.0,0.0
2020-01-08,3325.0,3360.0,3300.0,3325.0,1495.7236328125,15799402,0.0,0.0
2020-01-09,3345.0,3350.0,3300.0,3345.0,1504.7205810546875,2358976,0.0,0.0
2020-01-10,3400.0,3410.0,3300.0,3400.0,1529.4615478515625,8254121,0.0,0.0
2020-01-13,3420.0,3425.0,3385.0,3420.0,1538.458740234375,3948381,0.0,0.0
2020-01-14,3405.0,3435.0,3370.0,3405.0,1531.7110595703125,10348555,0.0,0.0
2020-01-15,3395.0,3415.0,3375.0,3395.0,1527.2125244140625,10545147,0.0,0.0
2020-01-16,3405.0,3420.0,3385.0,3405.0,1531.7110595703125,4263274,0.0,0.0
2020-01-17,3405.0,3420.0,3385.0,3405.0,1531.7110595703125,4263274,0.0,0.0
2020-01-20,3385.0,3385.0,3370.0,3385.0,1522.714111328125,1249626,0.0,0.0
2020-01-21,3360.0,3380.0,3355.0,3360.0,1511.46826171875,4162755,0.0,0.0
2020-01-22,3330.0,3355.0,3330.0,3330.0,1497.97265625,3946234,0.0,0.0
2020-01-23,3315.0,3330.0,3285.0,3315.0,1491.2252197265625,5523224,0.0,0.0
2020-01-24,3290.0,3305.0,3285.0,3290.0,1479.9791259765625,5848873,0.0,0.0
2020-01-27,3205.0,3285.0,3195.0,3205.0,1441.742431640625,17911845,0.0,0.0
2020-01-28,3190.0,3220.0,3190.0,3190.0,1434.9949951171875,9741845,0.0,0.0
2020-01-29,3195.0,3215.0,3185.0,3195.0,1437.2440185546875,6951412,0.0,0.0
2020-01-30,3200.0,3200.0,3145.0,3200.0,1439.4932861328125,9469906,0.0,0.0
2020-01-31,3180.0,3210.0,3140.0,3180.0,1430.4964599609375,19502919,0.0,0.0
2020-02-03,3140.0,3160.0,3120.0,3140.0,1412.5030517578125,7113412,0.0,0.0
2020-02-04,3185.0,3225.0,3170.0,3185.0,1432.74560546875,6751347,0.0,0.0
2020-02-05,3190.0,3235.0,3190.0,3190.0,1434.9949951171875,8119290,0.0,0.0
2020-02-06,3195.0,3205.0,3155.0,3195.0,1437.2440185546875,6321212,0.0,0.0
2020-02-07,3215.0,3220.0,3180.0,3215.0,1446.2412109375,3225700,0.0,0.0
2020-02-10,3215.0,3225.0,3195.0,3215.0,1446.2412109375,2706843,0.0,0.0
2020-02-11,3290.0,3295.0,3220.0,3290.0,1479.9791259765625,6594906,0.0,0.0
2020-02-12,3375.0,3395.0,3290.0,3375.0,1518.2159423828125,11129921,0.0,0.0
2020-02-13,3360.0,3380.0,3335.0,3360.0,1511.46826171875,5160683,0.0,0.0
2020-02-14,3325.0,3375.0,3310.0,3325.0,1495.7236328125,4912203,0.0,0.0
