Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01,259.0,259.0,259.0,259.0,259.0,0,0.0,0.0
2020-01-02,259.0,259.0,259.0,259.0,259.0,0,0.0,0.0
2020-01-03,260.0,260.0,260.0,260.0,260.0,98534,0.0,0.0
2020-01-06,260.0,260.0,260.0,260.0,260.0,0,0.0,0.0
2020-01-07,260.0,260.0,259.0,260.0,260.0,390501,0.0,0.0
2020-01-08,260.0,260.0,255.0,260.0,260.0,773079,0.0,0.0
2020-01-09,274.0,274.0,262.0,274.0,274.0,982059,0.0,0.0
2020-01-10,274.0,274.0,270.0,274.0,274.0,386084,0.0,0.0
2020-01-13,270.0,274.0,267.0,270.0,270.0,369637,0.0,0.0
2020-01-14,262.0,265.0,262.0,262.0,262.0,227637,0.0,0.0
2020-01-15,268.0,268.0,259.0,268.0,268.0,523081,0.0,0.0
2020-01-16,265.0,265.0,253.0,265.0,265.0,731665,0.0,0.0
2020-01-17,265.0,265.0,253.0,265.0,265.0,731665,0.0,0.0
2020-01-20,252.0,252.0,252.0,252.0,252.0,71084,0.0,0.0
2020-01-21,265.0,265.0,257.0,265.0,265.0,1019438,0.0,0.0
2020-01-22,265.0,267.0,264.0,265.0,265.0,3825729,0.0,0.0
2020-01-23,259.0,265.0,257.0,259.0,259.0,317439,0.0,0.0
2020-01-24,257.0,259.0,256.0,257.0,257.0,408983,0.0,0.0
2020-01-27,250.0,256.0,250.0,250.0,250.0,345523,0.0,0.0
2020-01-28,250.0,250.0,250.0,250.0,250.0,41005,0.0,0.0
2020-01-29,251.0,251.0,251.0,251.0,251.0,63983,0.0,0.0
2020-01-30,250.0,251.0,250.0,250.0,250.0,196037,0.0,0.0
2020-01-31,258.0,260.0,258.0,258.0,258.0,231048,0.0,0.0
2020-02-03,260.0,260.0,251.0,260.0,260.0,160786,0.0,0.0
2020-02-04,260.0,260.0,260.0,260.0,260.0,6541,0.0,0.0
2020-02-05,260.0,260.0,260.0,260.0,260.0,38483,0.0,0.0
2020-02-06,252.0,252.0,251.0,252.0,252.0,1141511,0.0,0.0
2020-02-07,252.0,252.0,252.0,252.0,252.0,11279,0.0,0.0
2020-02-10,252.0,256.0,252.0,252.0,252.0,1372989,0.0,0.0
2020-02-11,252.0,252.0,252.0,252.0,252.0,260787,0.0,0.0
2020-02-12,252.0,252.0,252.0,252.0,252.0,17200,0.0,0.0
2020-02-13,252.0,252.0,252.0,252.0,252.0,5351,0.0,0.0
2020-02-14,252.0,252.0,252.0,252.0,252.0,124283,0.0,0.0
2020-02-17,252.0,252.0,252.0,252.0,252.0,253,0.0,0.0
2020-02-18,257.0,257.0,257.0,257.0,257.0,73047,0.0,0.0
2020-02-19,266.0,269.0,259.0,266.0,266.0,2831522,0.0,0.0
2020-02-20,253.0,267.0,253.0,253.0,253.0,51192407,0.0,0.0
2020-02-21,257.0,265.0,256.0,257.0,257.0,1952784,0.0,0.0
2020-02-24,254.0,255.0,251.0,254.0,254.0,788938,0.0,0.0
2020-02-25,256.0,256.0,255.0,256.0,256.0,249330,0.0,0.0
2020-02-26,250.0,256.0,250.0,250.0,250.0,1585685,0.0,0.0
2020-02-27,245.0,247.0,242.0,245.0,245.0,670865,0.0,0.0
2020-02-28,246.0,246.0,246.0,246.0,246.0,319963,0.0,0.0
2020-03-02,246.0,246.0,246.0,246.0,246.0,115220,0.0,0.0
2020-03-03,241.0,244.0,241.0,241.0,241.0,377972,0.0,0.0
2020-03-04,240.0,241.0,240.0,240.0,240.0,282205,0.0,0.0
2020-03-05,241.0,241.0,241.0,241.0,241.0,104445,0.0,0.0
2020-03-06,233.0,241.0,233.0,233.0,233.0,849953,0.0,0.0
2020-03-09,229.0,230.0,221.0,229.0,229.0,935157,0.0,0.0
2020-03-10,235.0,241.0,230.0,235.0,235.0,756127,0.0,0.0
2020-03-11,220.0,223.0,220.0,220.0,220.0,329685,0.0,0.0
2020-03-12,209.0,209.0,209.0,209.0,209.0,82026,0.0,0.0
2020-03-13,209.0,209.0,209.0,209.0,209.0,82026,0.0,0.0
2020-03-16,209.0,209.0,209.0,209.0,209.0,127794,0.0,0.0
2020-03-17,197.0,199.0,197.0,197.0,197.0,305759,0.0,0.0
2020-03-18,171.0,197.0,171.0,171.0,171.0,670636,0.0,0.0
2020-03-19,170.0,178.0,170.0,170.0,170.0,857279,0.0,0.0
2020-03-20,170.0,170.0,170.0,170.0,170.0,120000,0.0,0.0
2020-03-23,170.0,170.0,170.0,170.0,170.0,0,0.0,0.0
2020-03-24,170.0,170.0,170.0,170.0,170.0,414084,0.0,0.0
2020-03-25,187.0,187.0,180.0,187.0,187.0,798190,0.0,0.0
2020-03-26,187.0,187.0,180.0,187.0,187.0,798190,0.0,0.0
2020-03-27,187.0,187.0,184.0,187.0,187.0,208902,0.0,0.0
2020-03-30,170.0,199.0,170.0,170.0,170.0,760810,0.0,0.0
2020-03-31,177.0,181.0,169.0,177.0,177.0,2941062,0.0,0.0
2020-04-01,177.0,179.0,175.0,177.0,177.0,485400,0.0,0.0
