Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01,77000.0,77000.0,77000.0,77000.0,59214.125,0,0.0,0.0
2020-01-02,77000.0,77000.0,77000.0,77000.0,59214.125,0,0.0,0.0
2020-01-03,79000.0,79000.0,79000.0,79000.0,60752.13671875,189,0.0,0.0
2020-01-06,79000.0,79000.0,79000.0,79000.0,60752.13671875,0,0.0,0.0
2020-01-07,79000.0,79000.0,79000.0,79000.0,60752.13671875,2349,0.0,0.0
2020-01-08,79000.0,79500.0,79000.0,79000.0,60752.13671875,3499,0.0,0.0
2020-01-09,79000.0,79000.0,79000.0,79000.0,60830.68359375,2797,102.0,0.0
2020-01-10,79000.0,79000.0,79000.0,79000.0,60830.68359375,2797,0.0,0.0
2020-01-13,79000.0,79000.0,79000.0,79000.0,60830.68359375,150,0.0,0.0
2020-01-14,79000.0,79480.0,79000.0,79000.0,60830.68359375,18097,0.0,0.0
2020-01-15,79000.0,79000.0,79000.0,79000.0,60830.68359375,4295,0.0,0.0
2020-01-16,79000.0,79000.0,79000.0,79000.0,60830.68359375,4295,0.0,0.0
2020-01-17,79000.0,79000.0,79000.0,79000.0,60830.68359375,0,0.0,0.0
2020-01-20,79000.0,79000.0,79000.0,79000.0,60830.68359375,0,0.0,0.0
2020-01-21,78980.0,78980.0,78840.0,78980.0,60815.31640625,3453,0.0,0.0
2020-01-22,77000.0,78000.0,77000.0,77000.0,59290.6953125,493,0.0,0.0
2020-01-23,77000.0,77000.0,77000.0,77000.0,59290.6953125,5000,0.0,0.0
2020-01-24,77000.0,78000.0,77000.0,77000.0,59290.6953125,1319,0.0,0.0
2020-01-27,77000.0,77000.0,77000.0,77000.0,59290.6953125,0,0.0,0.0
2020-01-28,77000.0,77000.0,77000.0,77000.0,59290.6953125,0,0.0,0.0
2020-01-29,78500.0,78500.0,78500.0,78500.0,60445.7109375,150,0.0,0.0
2020-01-30,78500.0,78500.0,78500.0,78500.0,60445.7109375,500,0.0,0.0
2020-01-31,78500.0,78500.0,78500.0,78500.0,60445.7109375,500,0.0,0.0
