Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-01-01,3250.0,3250.0,3250.0,3250.0,3024.656005859375,0,0.0,0.0
2020-01-02,3250.0,3250.0,3250.0,3250.0,3024.656005859375,0,0.0,0.0
2020-01-03,3285.0,3285.0,3285.0,3285.0,3098.704833984375,5183,43.5,0.0
2020-01-06,3285.0,3285.0,3285.0,3285.0,3098.704833984375,0,0.0,0.0
2020-01-07,3280.0,3290.0,3250.0,3280.0,3093.988525390625,47199,0.0,0.0
2020-01-08,3255.0,3290.0,3255.0,3255.0,3070.40625,29428,0.0,0.0
2020-01-09,3230.0,3260.0,3230.0,3230.0,3046.823974609375,66706,0.0,0.0
2020-01-10,3210.0,3250.0,3210.0,3210.0,3027.957275390625,15383,0.0,0.0
2020-01-13,3250.0,3250.0,3250.0,3250.0,3065.689453125,8155,0.0,0.0
2020-01-14,3215.0,3275.0,3215.0,3215.0,3032.67431640625,27255,0.0,0.0
2020-01-15,3215.0,3215.0,3215.0,3215.0,3032.67431640625,16276,0.0,0.0
2020-01-16,3200.0,3215.0,3200.0,3200.0,3018.52490234375,42171,0.0,0.0
2020-01-17,3200.0,3215.0,3200.0,3200.0,3018.52490234375,42171,0.0,0.0
2020-01-20,3210.0,3215.0,3210.0,3210.0,3027.957275390625,32560,0.0,0.0
2020-01-21,3200.0,3200.0,3200.0,3200.0,3018.52490234375,5067,0.0,0.0
2020-01-22,3235.0,3235.0,3200.0,3235.0,3051.540283203125,25507,0.0,0.0
2020-01-23,3235.0,3240.0,3235.0,3235.0,3051.540283203125,38747,0.0,0.0
2020-01-24,3230.0,3240.0,3230.0,3230.0,3046.823974609375,61030,0.0,0.0
2020-01-27,3200.0,3230.0,3175.0,3200.0,3018.52490234375,101784,0.0,0.0
2020-01-28,3145.0,3195.0,3145.0,3145.0,2966.644287109375,103589,0.0,0.0
2020-01-29,3150.0,3150.0,3100.0,3150.0,2971.36083984375,104347,0.0,0.0
2020-01-30,3100.0,3150.0,3100.0,3100.0,2924.195556640625,40007,0.0,0.0
2020-01-31,3060.0,3110.0,3060.0,3060.0,2886.464599609375,235208,0.0,0.0
2020-02-03,3090.0,3110.0,3035.0,3090.0,2914.763427734375,171903,0.0,0.0
2020-02-04,3095.0,3115.0,3085.0,3095.0,2919.4794921875,81888,0.0,0.0
2020-02-05,3150.0,3150.0,3135.0,3150.0,2971.36083984375,37983,0.0,0.0
2020-02-06,3160.0,3160.0,3130.0,3160.0,2980.7939453125,96085,0.0,0.0
2020-02-07,3160.0,3165.0,3160.0,3160.0,2980.7939453125,45645,0.0,0.0
2020-02-10,3180.0,3180.0,3155.0,3180.0,2999.658935546875,8915,0.0,0.0
2020-02-11,3185.0,3185.0,3185.0,3185.0,3004.375244140625,8542,0.0,0.0
2020-02-12,3185.0,3185.0,3165.0,3185.0,3004.375244140625,43500,0.0,0.0
2020-02-13,3185.0,3185.0,3185.0,3185.0,3004.375244140625,1690,0.0,0.0
2020-02-14,3240.0,3240.0,3185.0,3240.0,3056.256103515625,36678,0.0,0.0
2020-02-17,3220.0,3240.0,3220.0,3220.0,3037.390625,10757,0.0,0.0
2020-02-18,3295.0,3295.0,3240.0,3295.0,3108.136962890625,38952,0.0,0.0
2020-02-19,3330.0,3330.0,3305.0,3330.0,3141.152099609375,27053,0.0,0.0
2020-02-20,3380.0,3395.0,3355.0,3380.0,3188.316162109375,93856,0.0,0.0
2020-02-21,3400.0,3400.0,3380.0,3400.0,3207.18212890625,196693,0.0,0.0
2020-02-24,3475.0,3485.0,3400.0,3475.0,3277.929931640625,709721,0.0,0.0
2020-02-25,3500.0,3500.0,3450.0,3500.0,3301.511962890625,173678,0.0,0.0
2020-02-26,3465.0,3510.0,3465.0,3465.0,3268.497314453125,151277,0.0,0.0
2020-02-27,3475.0,3500.0,3435.0,3475.0,3277.929931640625,189613,0.0,0.0
2020-02-28,3445.0,3470.0,3350.0,3445.0,3249.630859375,139568,0.0,0.0
2020-03-02,3400.0,3455.0,3400.0,3400.0,3207.18212890625,31480,0.0,0.0
2020-03-03,3460.0,3460.0,3400.0,3460.0,3263.780517578125,37599,0.0,0.0
2020-03-04,3355.0,3460.0,3355.0,3355.0,3164.73486328125,95187,0.0,0.0
2020-03-05,3360.0,3360.0,3335.0,3360.0,3169.451416015625,52819,0.0,0.0
2020-03-06,3390.0,3450.0,3360.0,3390.0,3197.749755859375,228938,0.0,0.0
2020-03-09,3200.0,3330.0,3060.0,3200.0,3018.52490234375,192051,0.0,0.0
2020-03-10,3250.0,3250.0,3200.0,3250.0,3065.689453125,84887,0.0,0.0
2020-03-11,3145.0,3250.0,3145.0,3145.0,2966.644287109375,135057,0.0,0.0
