empresa,fecha,precio,es_imputado_kalman,rendimiento_simple,rendimiento_log,retorno_depende_imputacion,precio_original
Banco Davivienda PF,2020-01-01,38710.296875,False,,,False,45980.0
Banco de Bogota,2020-01-01,52395.3828125,False,,,False,79169.0078125
Celsia,2020-01-01,2793.44189453125,False,,,False,4410.0
ETB,2020-01-01,259.0,False,,,False,259.0
Ecopetrol,2020-01-01,1491.2252197265625,False,,,False,3315.0
Grupo Bolivar,2020-01-01,59214.125,False,,,False,77000.0
Mineros SA,2020-01-01,3024.656005859375,False,,,False,3250.0
Nutresa,2020-01-01,20479.646484375,False,,,False,23528.212890625
Promigas,2020-01-01,4753.7890625,False,,,False,8000.0
Banco Davivienda PF,2020-01-02,38710.296875,False,0.0,0.0,False,45980.0
Banco de Bogota,2020-01-02,52395.3828125,False,0.0,0.0,False,79169.0078125
Celsia,2020-01-02,2793.44189453125,False,0.0,0.0,False,4410.0
ETB,2020-01-02,259.0,False,0.0,0.0,False,259.0
Ecopetrol,2020-01-02,1491.2252197265625,False,0.0,0.0,False,3315.0
Grupo Bolivar,2020-01-02,59214.125,False,0.0,0.0,False,77000.0
Mineros SA,2020-01-02,3024.656005859375,False,0.0,0.0,False,3250.0
Nutresa,2020-01-02,20479.646484375,False,0.0,0.0,False,23528.212890625
Promigas,2020-01-02,4753.7890625,False,0.0,0.0,False,8000.0
Banco Davivienda PF,2020-01-03,38137.80859375,False,-0.014789043935742208,-0.014899492147712216,False,45300.0
Banco de Bogota,2020-01-03,54635.46875,False,0.04275349882481594,0.04186480947151408,False,82553.7265625
Celsia,2020-01-03,2844.11669921875,False,0.018140633168961307,0.017978055118373835,False,4490.0
ETB,2020-01-03,260.0,False,0.0038610038610038533,0.0038535693159899723,False,260.0
Ecopetrol,2020-01-03,1520.4647216796875,False,0.019607703495308604,0.01941794890056795,False,3380.0
Grupo Bolivar,2020-01-03,60752.13671875,False,0.025973730402163442,0.02564214252426558,False,79000.0
Mineros SA,2020-01-03,3098.704833984375,False,0.024481735437534846,0.024186860756089813,False,3285.0
Nutresa,2020-01-03,20382.890625,False,-0.004724488747831712,-0.004735684421269579,False,23417.056640625
Promigas,2020-01-03,4896.40234375,False,0.029999917828705813,0.0295587224635857,False,8240.0
Banco Davivienda PF,2020-01-06,38137.80859375,False,0.0,0.0,False,45300.0
Banco de Bogota,2020-01-06,54635.46875,False,0.0,0.0,False,82553.7265625
Celsia,2020-01-06,2844.11669921875,False,0.0,0.0,False,4490.0
ETB,2020-01-06,260.0,False,0.0,0.0,False,260.0
Ecopetrol,2020-01-06,1520.4647216796875,False,0.0,0.0,False,3380.0
Grupo Bolivar,2020-01-06,60752.13671875,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-06,3098.704833984375,False,0.0,0.0,False,3285.0
Nutresa,2020-01-06,20382.890625,False,0.0,0.0,False,23417.056640625
Promigas,2020-01-06,4896.40234375,False,0.0,0.0,False,8240.0
Banco Davivienda PF,2020-01-07,38306.1875,False,0.0044150126202477935,0.0044052950436795826,False,45500.0
Banco de Bogota,2020-01-07,52924.6484375,False,-0.031313363857613075,-0.031814108306787145,False,79968.6953125
Celsia,2020-01-07,2837.781982421875,False,-0.0022273055105703765,-0.0022297896447917662,False,4480.0
ETB,2020-01-07,260.0,False,0.0,0.0,False,260.0
Ecopetrol,2020-01-07,1511.46826171875,False,-0.005916914633178005,-0.005934488930601396,False,3360.0
Grupo Bolivar,2020-01-07,60752.13671875,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-07,3093.988525390625,False,-0.0015220257644500412,-0.0015231852222963504,False,3280.0
Nutresa,2020-01-07,20205.5078125,False,-0.008702534677904605,-0.008740622869690079,False,23213.267578125
Promigas,2020-01-07,4896.40234375,False,0.0,0.0,False,8240.0
Banco Davivienda PF,2020-01-08,38289.3515625,False,-0.0004395096092504325,-0.0004396062219079088,False,45480.0
Banco de Bogota,2020-01-08,52924.6484375,False,0.0,0.0,False,79968.6953125
Celsia,2020-01-08,2834.61474609375,False,-0.0011160957211455713,-0.0011167190197920796,False,4475.0
ETB,2020-01-08,260.0,False,0.0,0.0,False,260.0
Ecopetrol,2020-01-08,1495.7236328125,False,-0.010416777715428926,-0.0104714120849983,False,3325.0
Grupo Bolivar,2020-01-08,60752.13671875,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-08,3070.40625,False,-0.007621966014773052,-0.0076511616444156424,False,3255.0
Nutresa,2020-01-08,20173.2578125,False,-0.0015960994546273533,-0.0015973745783587005,False,23176.216796875
Promigas,2020-01-08,4896.40234375,False,0.0,0.0,False,8240.0
Banco Davivienda PF,2020-01-09,37615.83203125,False,-0.01759025691909688,-0.017746804007225957,False,44680.0
Banco de Bogota,2020-01-09,53613.9140625,False,0.01302352770116122,0.012939450763033008,False,81010.1484375
Celsia,2020-01-09,2837.781982421875,False,0.0011173427826443039,0.0011167190197920501,False,4480.0
ETB,2020-01-09,274.0,False,0.05384615384615388,0.052446475372542524,False,274.0
Ecopetrol,2020-01-09,1504.7205810546875,False,0.006015114052366766,0.005997095473602961,False,3345.0
Grupo Bolivar,2020-01-09,60830.68359375,False,0.001292907200344695,0.0012920721155442792,False,79000.0
Mineros SA,2020-01-09,3046.823974609375,False,-0.007680506574862855,-0.007710153565651283,False,3230.0
Nutresa,2020-01-09,20217.75,False,0.0022055033407857305,0.002203074788424009,False,23176.216796875
Promigas,2020-01-09,4753.7890625,False,-0.02912613613790105,-0.029558722463585665,False,8000.0
Banco Davivienda PF,2020-01-10,37295.91015625,False,-0.008504979359069353,-0.008541353081361202,False,44300.0
Banco de Bogota,2020-01-10,54709.3046875,False,0.020431088536514208,0.02022517383092937,False,82665.3125
Celsia,2020-01-10,2859.952880859375,False,0.007812756080218142,0.007782394537122838,False,4515.0
ETB,2020-01-10,274.0,False,0.0,0.0,False,274.0
Ecopetrol,2020-01-10,1529.4615478515625,False,0.016442233268008755,0.016308523418809513,False,3400.0
Grupo Bolivar,2020-01-10,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-10,3027.957275390625,False,-0.006192251136256988,-0.0062115026378920715,False,3210.0
Nutresa,2020-01-10,20314.716796875,False,0.00479612206476987,0.004784657314287803,False,23287.373046875
Promigas,2020-01-10,4735.9619140625,False,-0.0037500924427060767,-0.0037571416683876554,False,7970.0
Banco Davivienda PF,2020-01-13,37043.34375,False,-0.006771959852752807,-0.006794993620942502,False,44000.0
Banco de Bogota,2020-01-13,52949.27734375,False,-0.03217053029285033,-0.03269937488280781,False,80005.890625
Celsia,2020-01-13,2825.114013671875,False,-0.01218162278849555,-0.012256426866136915,False,4460.0
ETB,2020-01-13,270.0,False,-0.014598540145985384,-0.014706147389695449,False,270.0
Ecopetrol,2020-01-13,1538.458740234375,False,0.0058825881536224145,0.005865353289305303,False,3420.0
Grupo Bolivar,2020-01-13,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-13,3065.689453125,False,0.012461264906555636,0.012384262384329776,False,3250.0
Nutresa,2020-01-13,20136.951171875,False,-0.008750583469977036,-0.008789094653658134,False,23083.5859375
Promigas,2020-01-13,4735.9619140625,False,0.0,0.0,False,7970.0
Banco Davivienda PF,2020-01-14,37211.72265625,False,0.004545456462741626,0.0045351570740028505,False,44200.0
Banco de Bogota,2020-01-14,53663.14453125,False,0.013482095003214623,0.013392020254815016,False,81084.5390625
Celsia,2020-01-14,2796.60986328125,False,-0.010089557537388494,-0.010140802104427601,False,4415.0
ETB,2020-01-14,262.0,False,-0.029629629629629672,-0.03007745523727795,False,262.0
Ecopetrol,2020-01-14,1531.7110595703125,False,-0.004386000409107194,-0.004395647126238907,False,3405.0
Grupo Bolivar,2020-01-14,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-14,3032.67431640625,False,-0.01076923714014677,-0.010827645092336214,False,3215.0
Nutresa,2020-01-14,20153.1015625,False,0.0008020276002633775,0.0008017061479918321,False,23102.111328125
Promigas,2020-01-14,4575.5224609375,False,-0.03387684614789799,-0.03446396443584917,False,7700.0
Banco Davivienda PF,2020-01-15,37262.23828125,False,0.0013575191201613546,0.0013565985241375056,False,44260.0
Banco de Bogota,2020-01-15,54155.44140625,False,0.009173835773140793,0.009132011738364367,False,81828.4296875
Celsia,2020-01-15,2774.439453125,False,-0.007927602075406215,-0.007959192581480331,False,4380.0
ETB,2020-01-15,268.0,False,0.022900763358778553,0.022642476749759752,False,268.0
Ecopetrol,2020-01-15,1527.2125244140625,False,-0.002936934566178495,-0.0029412558214047223,False,3395.0
Grupo Bolivar,2020-01-15,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-15,3032.67431640625,False,0.0,0.0,False,3215.0
Nutresa,2020-01-15,20250.068359375,False,0.004811507378865709,0.0047999690735294805,False,23213.267578125
Promigas,2020-01-15,4586.83984375,False,0.0024734624098383673,0.0024704084365806474,False,7700.0
Banco Davivienda PF,2020-01-16,37700.0234375,False,0.011748761653705753,0.011680280808379939,False,44780.0
Banco de Bogota,2020-01-16,54463.140625,False,0.005681778428169082,0.005665698006624367,False,82293.3671875
Celsia,2020-01-16,2777.606201171875,False,0.0011414010290649035,0.0011407501261574118,False,4385.0
ETB,2020-01-16,265.0,False,-0.011194029850746245,-0.011257154524634447,False,265.0
Ecopetrol,2020-01-16,1531.7110595703125,False,0.002945585558222108,0.0029412558214047565,False,3405.0
Grupo Bolivar,2020-01-16,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-16,3018.52490234375,False,-0.004665655651170386,-0.0046765737959374295,False,3200.0
Nutresa,2020-01-16,20201.5859375,False,-0.0023941855906157716,-0.00239705623575708,False,23157.689453125
Promigas,2020-01-16,4169.8564453125,False,-0.09090864574346957,-0.09530969012226129,False,7000.0
Banco Davivienda PF,2020-01-17,37700.0234375,False,0.0,0.0,False,44780.0
Banco de Bogota,2020-01-17,54463.140625,False,0.0,0.0,False,82293.3671875
Celsia,2020-01-17,2807.052978515625,False,0.010601494672400458,0.010545692869630339,False,4385.0
ETB,2020-01-17,265.0,False,0.0,0.0,False,265.0
Ecopetrol,2020-01-17,1531.7110595703125,False,0.0,0.0,False,3405.0
Grupo Bolivar,2020-01-17,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-17,3018.52490234375,False,0.0,0.0,False,3200.0
Nutresa,2020-01-17,20201.5859375,False,0.0,0.0,False,23157.689453125
Promigas,2020-01-17,4169.8564453125,False,0.0,0.0,False,7000.0
Banco Davivienda PF,2020-01-20,38053.6171875,False,0.00937913873147056,0.009335427711718322,False,45200.0
Banco de Bogota,2020-01-20,52986.1953125,False,-0.02711825457641792,-0.027492740231997624,False,80061.6796875
Celsia,2020-01-20,2784.648193359375,False,-0.007981603955368732,-0.008013627469379609,False,4350.0
ETB,2020-01-20,252.0,False,-0.049056603773584895,-0.05030073847479889,False,252.0
Ecopetrol,2020-01-20,1522.714111328125,False,-0.005873789436965593,-0.005891107988456664,False,3385.0
Grupo Bolivar,2020-01-20,60830.68359375,False,0.0,0.0,False,79000.0
Mineros SA,2020-01-20,3027.957275390625,False,0.003124828633863874,0.0031199565039438074,False,3210.0
Nutresa,2020-01-20,20444.0078125,False,0.012000140768650969,0.011928709964721606,False,23435.58203125
Promigas,2020-01-20,4169.8564453125,False,0.0,0.0,False,7000.0
Banco Davivienda PF,2020-01-21,38289.3515625,False,0.006194795460270575,0.0061756865912909785,False,45480.0
Banco de Bogota,2020-01-21,53847.7421875,False,0.016259836546459017,0.016129061091547832,False,81363.5
Celsia,2020-01-21,2829.45751953125,False,0.016091557374728005,0.01596346062243712,False,4420.0
ETB,2020-01-21,265.0,False,0.051587301587301626,0.05030073847479894,False,265.0
Ecopetrol,2020-01-21,1511.46826171875,False,-0.007385397906089053,-0.0074128049820238765,False,3360.0
Grupo Bolivar,2020-01-21,60815.31640625,False,-0.00025262230493128257,-0.00025265421932072786,False,78980.0
Mineros SA,2020-01-21,3018.52490234375,False,-0.0031150944973813433,-0.0031199565039438854,False,3200.0
Nutresa,2020-01-21,20411.681640625,False,-0.001581205220203219,-0.001582456644523834,False,23398.529296875
Promigas,2020-01-21,4402.17529296875,False,0.055713871857005826,0.054217193888352305,False,7390.0
Banco Davivienda PF,2020-01-22,38289.3515625,False,0.0,0.0,False,45480.0
Banco de Bogota,2020-01-22,54524.67578125,False,0.012571253060024157,0.012492890915082577,False,82386.3515625
Celsia,2020-01-22,2867.86669921875,False,0.013574750432677751,0.013483438933808928,False,4480.0
ETB,2020-01-22,265.0,False,0.0,0.0,False,265.0
Ecopetrol,2020-01-22,1497.97265625,False,-0.008928805063629697,-0.008968905722666806,False,3330.0
Grupo Bolivar,2020-01-22,59290.6953125,False,-0.025069689411224005,-0.025389286858047814,False,77000.0
Mineros SA,2020-01-22,3051.540283203125,False,0.01093758770508746,0.010878204903370874,False,3235.0
Nutresa,2020-01-22,20460.162109375,False,0.0023751334948076686,0.0023723173235555544,False,23454.109375
Promigas,2020-01-22,4354.52001953125,False,-0.01082539205415467,-0.01088441294674222,False,7310.0
Banco Davivienda PF,2020-01-23,38221.99609375,False,-0.0017591175092128708,-0.001760666573342262,False,45400.0
Banco de Bogota,2020-01-23,53847.7421875,False,-0.0124151787067166,-0.012492890915082579,False,81363.5
Celsia,2020-01-23,2903.07568359375,False,0.012277064476041266,0.012202312521130701,False,4535.0
ETB,2020-01-23,259.0,False,-0.02264150943396226,-0.022901764286684455,False,259.0
Ecopetrol,2020-01-23,1491.2252197265625,False,-0.004504378965320299,-0.004514554247299768,False,3315.0
Grupo Bolivar,2020-01-23,59290.6953125,False,0.0,0.0,False,77000.0
Mineros SA,2020-01-23,3051.540283203125,False,0.0,0.0,False,3235.0
Nutresa,2020-01-23,20508.65625,False,0.002370173821974797,0.002367369390454247,False,23509.6875
Promigas,2020-01-23,4431.95947265625,False,0.017783694363020963,0.017627414571698766,False,7440.0
Banco Davivienda PF,2020-01-24,38356.6953125,False,0.0035241283165750037,0.0035179331272075258,False,45560.0
Banco de Bogota,2020-01-24,54770.84765625,False,0.017142881600043847,0.01699760041355773,False,82758.3046875
Celsia,2020-01-24,2858.265380859375,False,-0.015435457982584833,-0.015555824882764456,False,4465.0
ETB,2020-01-24,257.0,False,-0.007722007722007707,-0.007751976804317936,False,257.0
Ecopetrol,2020-01-24,1479.9791259765625,False,-0.007541512577196152,-0.007570093569787624,False,3290.0
Grupo Bolivar,2020-01-24,59290.6953125,False,0.0,0.0,False,77000.0
Mineros SA,2020-01-24,3046.823974609375,False,-0.001545550166815901,-0.0015467457615348462,False,3230.0
Nutresa,2020-01-24,20379.359375,False,-0.00630450251951542,-0.0063244598203110285,False,23361.478515625
Promigas,2020-01-24,4378.3466796875,False,-0.012096859932840931,-0.012170622409420387,False,7350.0
Banco Davivienda PF,2020-01-27,37935.75390625,False,-0.010974391897438096,-0.01103505476990695,False,45060.0
Banco de Bogota,2020-01-27,53946.2109375,False,-0.015056124818909944,-0.015170618945025907,False,81512.28125
Celsia,2020-01-27,2874.2685546875,False,0.0055989111211616205,0.005583295478240405,False,4490.0
ETB,2020-01-27,250.0,False,-0.027237354085603127,-0.02761516703297338,False,250.0
